id logtype campaign_id userid
6221536745634464319 2 1477821 6118925312609616064
6221536745646391871 0 1477821 6118925312609616064
6221536745641410717 0 352777 5907542776231297292
6221536745648619727 0 0 6219724359623966809
6221536745673261263 0 0 6219724359623966809
6221536745663496767 0 0 6118925312609616064
6221536749954334927 2 1396020 5970659146012754111
6221536754252841535 2 1396020 6136505953763787734
6221536754254086719 0 0 5949886278987219297
6221536754259132991 0 352777 6163109981968663104
6221536758527688911 0 0 6082048951024681938
6221536754278990399 2 1450786 5777564507363737920
6221536758517334591 0 0 5777564507363737920
6221536758523494975 2 1450786 5777564507363737920
6221536758581493847 2 1396020 6084256821918564410
6221536762836287675 2 1396020 6084256821918564410
6221536762842710591 0 1396020 6136505953763787734
6221536762854309975 0 0 6084256821918564410
6221536762854113855 0 0 6136505953763787734
6221536762805944477 0 352777 5907542776231297292
6221536762866696279 0 1365972 6084256821918564410
6221536762815840831 0 1404447 6118925312609616064
6221536767109300799 2 1396020 5970659146012754111
6221536767109562575 0 0 5970659146012754111
6221536767158059583 0 1404996 6136505953763787734
6221536767129354447 2 1477821 6039487946832937945
6221536767148884175 0 1477821 6039487946832937945
6221536767115854400 2 1450786 6221206428291825856
6221536767120245312 0 0 6221206428291825856
6221536767139119680 0 1404996 6221206428291825856
6221536767113232571 0 352777 6023142542546108428
6221536767106679359 0 1450786 5777564507363737920
6221536767122801215 0 0 5777564507363737920
6221536767134204479 0 0 5777564507363737920
6221536767114281167 0 1365972 5970659146012754111
6221536767127781952 2 1450786 6221206428291825856
6221536771430809807 0 1451641 5970659146012754111
6221536771451912279 0 1451641 6084256821918564410
6221536771438739613 2 1450768 6179246676579647522
6221536771448176797 0 0 6179246676579647522
6221536771454730397 0 0 6179246676579647522
6221536771441033792 2 1450786 6221117466628847635
6221536771447521856 0 0 6221117466628847635
6221536771400794304 2 1477821 0
6221536771407478976 0 1477821 0
6221536771402825935 0 1413708 6039487946832937945
6221536771413901887 0 38648 5949886278987219297
6221536775697859135 0 0 6141982238935875791
6221536775713915072 0 0 6208182025872147415
6221536775696875677 2 1450768 6179246676579647522
6221536775727284800 0 1450786 6221117466628847635
6221536775689798208 2 1450786 6221117466628847635
6221536775705199167 0 1365972 6026733178156286024
